Date,close,high,low,open,volume,VIX_Close,RSI_14,MACD_12_26_9,MACDh_12_26_9,Log_Return,Rolling_1st_Percentile,Crash_Event,GPR_Composite,GPR_Threats,GPR_Acts,GPR_Threats_MA_63,GPR_Threats_MA_126,GPR_Threats_Trend,GPR_Acts_MA_63,GPR_Threats_1D_PctChange,GPR_Acts_1D_PctChange,GPR_Threats_5D_PctChange,GPR_Threats_Vol_21D,GPR_Acts_Vol_21D,GNS_Score
2001-01-02,1283.27001953125,1320.280029296875,1276.050048828125,1320.280029296875,1129400000,29.989999771118164,39.74926279134193,-15.079161645381646,-0.0334840283885462,-0.0284323345214164,-0.0313121246997117,0,48.00822830200195,58.065956115722656,43.50950241088867,45.89834785461426,58.51501682826451,-12.616668973650247,45.69620305015927,10.144932779764003,3.2608720253806567,-22.35397950570224,20.50317572188387,13.25745142896773,0.0
2001-01-03,1347.56005859375,1347.760009765625,1274.6199951171875,1283.27001953125,1880700000,26.600000381469727,52.73321558989882,-11.376138727561964,2.9356311115449074,0.0488840702084013,-0.0296155711159514,0,31.81761932373047,23.517641067504883,35.24409103393555,45.49404453095936,58.2181003358629,-12.724055804903545,45.32337028261215,-59.49840036968417,-18.996795915746045,-60.12807053046796,21.30307653733908,13.08855756641869,0.0
2001-01-04,1333.3399658203125,1350.239990234375,1329.1400146484375,1347.56005859375,2131000000,26.969999313354492,50.158481593919674,-9.4796337143016,3.86570889984422,-0.010608546388114,-0.0296155711159514,0,55.39410400390625,59.88051986694336,38.65652084350586,45.9811588166252,58.43419270288376,-12.45303388625856,45.063984008062455,154.6195840605897,9.682274984151462,124.18478666423974,20.935698406560487,13.011572910210818,0.0
2001-01-05,1298.3499755859375,1334.77001953125,1294.949951171875,1333.3399658203125,1430800000,28.670000076293945,44.41232219423424,-10.676962241534284,2.134704298089229,-0.0265928380658743,-0.0296155711159514,0,66.85916900634766,75.8120346069336,60.59396743774414,45.76727055746411,58.59705699436248,-12.829786436898369,45.006306572565954,26.60550505471666,56.749666331970694,29.70184331216783,21.45162315845229,12.986937732072176,0.0
2001-01-08,1295.8599853515625,1298.3499755859375,1276.2900390625,1298.3499755859375,1115500000,29.84000015258789,44.02579592906551,-11.69199706371478,0.8957355807269867,-0.001919652639159,-0.0296155711159514,0,57.60987091064453,77.84467315673828,35.89533996582031,46.819909565032475,58.496816196138894,-11.67690663110642,45.93859736124674,89.34783348982019,-27.173913043478255,231.00544792436213,20.586316538265635,13.393275605450684,0.0
2001-01-09,1300.800048828125,1311.719970703125,1295.1400146484375,1295.8599853515625,1191300000,27.989999771118164,45.04763264664073,-11.959930996766388,0.5022413181403032,0.003804941248795,-0.0296155711159514,0,59.37621307373047,67.56330108642578,43.61622619628906,47.29748193044511,58.79997165619381,-11.502489725748704,45.815857720753506,-13.207547354731927,21.509438935027813,12.830184568460387,20.77364051438059,12.68360986576427,0.0
2001-01-10,1313.27001953125,1313.760009765625,1287.280029296875,1300.800048828125,1296500000,26.799999237060547,47.64577475480952,-11.038799737263616,1.138698062114461,0.0095407276525182,-0.0296155711159514,0,45.007713317871094,54.89047622680664,53.84300994873047,47.3718328627329,58.65746446639773,-11.285631603664823,45.54135925050766,-18.75696518056198,23.447199916877537,-27.59661904419264,19.16660688052052,12.771711649842,0.0
2001-01-11,1326.8199462890625,1332.18994140625,1309.719970703125,1313.27001953125,1411200000,25.790000915527344,50.39049201104585,-9.110411576206388,2.453668978537351,0.0102648363571976,-0.0296155711159514,0,60.467506408691406,61.21119689941406,52.41859436035156,47.75917704143222,58.79208464849563,-11.032907607063414,45.517269013419984,11.515149998863738,-2.645497697352428,17.44444532274454,17.22514268621521,12.734429654089276,0.0
2001-01-12,1318.550048828125,1333.2099609375,1311.5899658203125,1326.8199462890625,1276000000,24.559999465942383,48.711961074459445,-8.15545071669294,2.7269038704406405,-0.0062523763533257,-0.0296155711159514,0,55.76713562011719,69.55817413330078,27.797739028930664,48.52035516405862,59.06631136697436,-10.54595620291574,45.05402528671991,13.636356837790608,-46.96969774153968,69.1919182078047,17.679432968729127,13.356220061442686,0.0
2001-01-16,1326.6500244140625,1327.81005859375,1313.3299560546875,1318.3199462890625,1205700000,25.280000686645508,50.45283697167056,-6.668170501196528,3.371347268749643,0.006124301133249,-0.0296155711159514,0,64.81851959228516,73.75601959228516,61.2180061340332,50.539792772323366,58.995624390859454,-8.455831618536088,45.047373302399166,42.91966333263555,31.925852560406387,20.494326738105627,14.849586496083813,12.038180591444254,0.0
