Date,close,high,low,open,volume,VIX_Close,RSI_14,MACD_12_26_9,MACDh_12_26_9,Log_Return,Rolling_1st_Percentile,Crash_Event,GPR_Composite,GPR_Threats,GPR_Acts,GPR_Threats_MA_63,GPR_Threats_MA_126,GPR_Threats_Trend,GPR_Acts_MA_63,GPR_Threats_1D_PctChange,GPR_Acts_1D_PctChange,GPR_Threats_5D_PctChange,GPR_Threats_Vol_21D,GPR_Acts_Vol_21D
02/01/01,1283.27002,1320.280029,1276.050049,1320.280029,1129400000,29.98999977,39.74926279,-15.07916165,-0.033484028,-0.028432335,-0.031312125,0,48.0082283,58.06595612,43.50950241,45.89834785,58.51501683,-12.61666897,45.69620305,10.14493278,3.260872025,-22.35397951,20.50317572,13.25745143
03/01/01,1347.560059,1347.76001,1274.619995,1283.27002,1880700000,26.60000038,52.73321559,-11.37613873,2.935631112,0.04888407,-0.029615571,0,31.81761932,23.51764107,35.24409103,45.49404453,58.21810034,-12.7240558,45.32337028,-59.49840037,-18.99679592,-60.12807053,21.30307654,13.08855757
04/01/01,1333.339966,1350.23999,1329.140015,1347.560059,2131000000,26.96999931,50.15848159,-9.479633714,3.8657089,-0.010608546,-0.029615571,0,55.394104,59.88051987,38.65652084,45.98115882,58.4341927,-12.45303389,45.06398401,154.6195841,9.682274984,124.1847867,20.93569841,13.01157291
05/01/01,1298.349976,1334.77002,1294.949951,1333.339966,1430800000,28.67000008,44.41232219,-10.67696224,2.134704298,-0.026592838,-0.029615571,0,66.85916901,75.81203461,60.59396744,45.76727056,58.59705699,-12.82978644,45.00630657,26.60550505,56.74966633,29.70184331,21.45162316,12.98693773
08/01/01,1295.859985,1298.349976,1276.290039,1298.349976,1115500000,29.84000015,44.02579593,-11.69199706,0.895735581,-0.001919653,-0.029615571,0,57.60987091,77.84467316,35.89533997,46.81990957,58.4968162,-11.67690663,45.93859736,89.34783349,-27.17391304,231.0054479,20.58631654,13.39327561
09/01/01,1300.800049,1311.719971,1295.140015,1295.859985,1191300000,27.98999977,45.04763265,-11.959931,0.502241318,0.003804941,-0.029615571,0,59.37621307,67.56330109,43.6162262,47.29748193,58.79997166,-11.50248973,45.81585772,-13.20754735,21.50943894,12.83018457,20.77364051,12.68360987
10/01/01,1313.27002,1313.76001,1287.280029,1300.800049,1296500000,26.79999924,47.64577475,-11.03879974,1.138698062,0.009540728,-0.029615571,0,45.00771332,54.89047623,53.84300995,47.37183286,58.65746447,-11.2856316,45.54135925,-18.75696518,23.44719992,-27.59661904,19.16660688,12.77171165
11/01/01,1326.819946,1332.189941,1309.719971,1313.27002,1411200000,25.79000092,50.39049201,-9.110411576,2.453668979,0.010264836,-0.029615571,0,60.46750641,61.2111969,52.41859436,47.75917704,58.79208465,-11.03290761,45.51726901,11.51515,-2.645497697,17.44444532,17.22514269,12.73442965
12/01/01,1318.550049,1333.209961,1311.589966,1326.819946,1276000000,24.55999947,48.71196107,-8.155450717,2.72690387,-0.006252376,-0.029615571,0,55.76713562,69.55817413,27.79773903,48.52035516,59.06631137,-10.5459562,45.05402529,13.63635684,-46.96969774,69.19191821,17.67943297,13.35622006
16/01/01,1326.650024,1327.810059,1313.329956,1318.319946,1205700000,25.28000069,50.45283697,-6.668170501,3.371347269,0.006124301,-0.029615571,0,64.81851959,73.75601959,61.21800613,50.53979277,58.99562439,-8.455831619,45.0473733,42.91966333,31.92585256,20.49432674,14.8495865,12.03818059
17/01/01,1329.469971,1346.920044,1325.410034,1326.650024,1349100000,24.93000031,51.07545306,-5.201978942,3.870031063,0.002123358,-0.029615571,0,44.02083206,41.18029022,49.3710022,50.46804074,58.62345478,-8.155414036,45.5938518,-44.16687553,-19.35215582,-40.79733872,14.81210677,10.29179791
18/01/01,1347.969971,1352.709961,1327.410034,1329.890015,1445000000,23.37000084,55.06481684,-2.518188074,5.243057544,0.013819391,-0.029615571,0,44.69731522,53.68598175,34.65756989,50.82193956,58.40903797,-7.587098409,45.91996087,30.36814811,-29.80176958,-9.370313867,14.2786979,9.311655256
19/01/01,1342.540039,1354.550049,1336.73999,1347.969971,1407800000,23.23999977,53.68122944,-0.819962561,5.553026446,-0.004036364,-0.029615571,0,43.58641815,49.83477402,32.58918762,50.89971676,58.21558314,-7.31586638,46.26622642,-7.173581646,-5.968053358,-24.50657245,14.3346556,9.58670614
22/01/01,1342.900024,1353.619995,1333.839966,1342.540039,1164000000,23.25,53.76417367,0.548617086,5.537284874,0.000268102,-0.029615571,0,28.43405724,35.4657135,21.25990105,50.88976294,57.2304056,-6.340642657,45.19978899,112.0171554,59.01287232,-13.87697049,16.803375,12.6904925
23/01/01,1360.400024,1362.900024,1339.630005,1342.900024,1232600000,21.56999969,57.72720927,3.010625447,6.399434588,0.012947319,-0.029615571,0,62.5602951,62.4250145,68.60450745,51.08784776,57.22505833,-6.137210573,45.3382763,76.01510962,222.6943874,16.27805334,16.86294918,13.95820488
24/01/01,1364.300049,1369.75,1357.280029,1360.400024,1309000000,22.03000069,58.5792902,5.216353313,6.884129963,0.00286272,-0.029615571,0,52.95401382,63.60310745,46.92534637,50.86905119,57.16632801,-6.297276815,45.25473437,1.887212948,-31.60019929,27.62796402,15.22096759,13.85800973
25/01/01,1357.51001,1367.349976,1354.630005,1364.300049,1258000000,22.63999939,56.44603412,6.343386521,6.408930537,-0.004989366,-0.029615571,0,37.83089447,51.11855698,14.14291763,50.93497891,56.99505055,-6.060071642,44.31734669,-19.62883729,-69.86081356,-33.84557458,15.27695756,15.26900226
26/01/01,1354.949951,1357.51001,1342.75,1357.51001,1098000000,22.56999969,55.62356422,6.949879244,5.612338608,-0.001887629,-0.029615571,0,36.52534103,37.38088226,28.00993538,49.95132785,56.63768856,-6.686360707,43.72208489,-26.8741442,98.04920106,123.4662028,15.24274288,15.00028086
29/01/01,1364.170044,1365.540039,1350.359985,1354.920044,1053100000,22.61000061,57.99730767,8.081356678,5.395052834,0.0067817,-0.029615571,0,36.16340256,30.07100105,43.26250839,50.6915932,56.37340214,-5.681808941,43.04596713,-40.32023469,61.1353807,-52.72086183,15.3378307,14.90914075
30/01/01,1373.72998,1375.680054,1356.199951,1364.170044,1149800000,22.56999969,60.36468805,9.638362633,5.561647031,0.006983436,-0.029615571,0,15.29347992,15.2604084,18.29568481,49.94667725,55.91871822,-5.972040964,42.54738378,-49.25207719,-57.71006931,-70.14702819,17.20705796,15.52829019
31/01/01,1366.01001,1383.369995,1364.660034,1373.72998,1295300000,22.02000046,57.54411621,10.13256208,4.844677186,-0.005635565,-0.029615571,0,47.83491135,64.6363678,17.88287735,50.11145486,55.97516738,-5.863712523,41.95759573,323.5559501,-2.256310539,72.91290062,17.42469782,15.65245781
01/02/01,1373.469971,1373.5,1359.339966,1366.01001,1118800000,21.65999985,59.51280678,10.99938119,4.569197036,0.005446274,-0.029615571,0,45.34313202,41.89359283,50.22617722,49.96425393,56.08425769,-6.120003761,42.0245467,-35.18572553,180.8618335,-37.53395569,17.43851463,15.5449982
02/02/01,1349.469971,1376.380005,1348.719971,1373.469971,1048400000,21.95000076,51.27511416,9.638633986,2.566759862,-0.017628462,-0.029615571,0,59.15299606,73.78134918,47.17673492,50.76454435,56.37126512,-5.606720773,42.32878161,76.11606976,-6.071420244,46.42856737,17.68174703,15.6101131
05/02/01,1354.310059,1354.560059,1344.47998,1349.469971,1013000000,22.19000053,52.69714557,8.848783396,1.421527418,0.003580242,-0.029615571,0,44.61370468,43.28064346,37.06364822,49.67620323,55.96273978,-6.28653655,42.71670005,3.703696595,-35.18518926,-33.03979642,18.98725162,16.18823137
06/02/01,1352.26001,1363.550049,1350.040039,1354.310059,1059600000,21.97999954,52.0048401,7.965577091,0.43065689,-0.001514869,-0.029615571,0,71.00895691,94.47386932,56.63230133,50.76831142,56.37909267,-5.610781246,43.2248065,118.282035,52.79742833,125.5091123,20.84628659,15.87586169
07/02/01,1340.890015,1352.26001,1334.26001,1352.26001,1158300000,21.67000008,48.22104148,6.275822374,-1.007278261,-0.008443691,-0.029615571,0,28.58399773,47.53697968,6.332447529,50.79476871,56.07095499,-5.276186277,42.45240582,-49.68240423,-88.81831149,-35.5704657,20.77514852,16.9379998
08/02/01,1332.530029,1350.319946,1332.420044,1341.099976,1107200000,21.45999908,45.59425774,4.213527712,-2.455658339,-0.006254171,-0.029615571,0,33.17671967,29.70959473,45.79559326,50.82182385,55.99269868,-5.170874838,42.87478206,-37.50214059,623.1894627,99.53775406,21.16952067,17.10278702
09/02/01,1314.76001,1332.530029,1309.97998,1332.530029,1075500000,22.03000069,40.53916005,1.13220096,-4.429588072,-0.013425266,-0.029615571,0,36.68090439,42.23259735,39.3809166,50.76589881,55.39204148,-4.626142668,42.71620927,42.1513748,-14.00719198,1.192498809,21.20202101,17.11009056
12/02/01,1330.310059,1330.959961,1313.640015,1314.76001,1039100000,21.92000008,46.16412375,-0.05438677,-4.492940642,0.011757895,-0.029615571,0,56.62509155,82.39968872,21.1690464,51.27909869,53.69670294,-2.41760425,41.0636693,46.41500686,-5.876068784,73.33808181,20.98835501,16.32014529
13/02/01,1318.800049,1336.619995,1317.51001,1330.310059,1075200000,21.37000084,42.92707944,-1.901607147,-5.072128815,-0.008689773,-0.029615571,0,48.0082283,58.54983902,51.05114746,51.62494175,53.05840021,-1.433458464,41.3743044,-28.9441017,141.1594103,97.07383947,20.88333904,14.88291856
14/02/01,1315.920044,1320.72998,1304.719971,1318.800049,1150300000,21.52000046,42.13101507,-3.556932821,-5.381963591,-0.002186195,-0.029615571,0,39.39925003,40.32210541,36.2565918,51.45598427,52.65513682,-1.199152553,40.97990763,-31.13199612,-28.97986901,-4.523737736,20.68907998,14.59396995
15/02/01,1326.609985,1331.290039,1315.920044,1315.920044,1153700000,20.27000046,46.12469598,-3.960546695,-4.628461972,0.008090731,-0.029615571,0,55.20946503,66.77584839,35.0251503,52.05464333,52.97886668,-0.924223355,40.66682774,65.60605582,-3.396462372,181.4545432,21.08766214,13.91520814
16/02/01,1301.530029,1326.609985,1293.180054,1326.609985,1257200000,22.12000084,39.2762284,-6.232314211,-5.520183591,-0.019086287,-0.029615571,0,34.32712555,38.05877304,22.81431007,51.63085511,51.87979545,-0.248940347,40.06069012,-43.00518232,-34.86306303,-32.37382808,21.07000425,14.07875904
20/02/01,1278.939941,1307.160034,1278.439941,1301.530029,1112200000,24.69000053,34.33163876,-9.743223815,-7.224874556,-0.017508954,-0.027494191,0,93.16596222,109.0324402,82.5592804,56.54930536,52.4511441,4.098161258,42.99942036,-36.74583289,-44.51388833,63.28125036,39.79971493,31.94155337
21/02/01,1255.27002,1282.969971,1253.160034,1278.939941,1208500000,25.75,30.06121826,-14.27110147,-9.402201772,-0.01868086,-0.027494191,0,80.58374786,95.72558594,45.9061203,56.6689873,52.64534428,4.023643024,42.93835498,-12.20449091,-44.39617196,151.5204204,40.36759817,31.33222576
22/02/01,1252.819946,1259.939941,1228.329956,1255.27002,1365900000,26.76000023,29.65009773,-17.85139777,-10.38599846,-0.001953737,-0.027494191,0,60.87413788,71.7098999,55.62953186,56.38190045,52.54622597,3.835674483,42.96694469,-25.08805331,21.1810789,-53.01338588,39.98965707,31.38804629
23/02/01,1245.859985,1252.819946,1215.439941,1252.819946,1231300000,27.20999908,28.45940205,-21.00824905,-10.83427979,-0.005570925,-0.027494191,0,69.06938171,82.7040329,44.0683403,56.98819875,52.73091451,4.25728424,42.91357186,15.33140196,-20.78247142,24.47873115,40.10476639,31.39240586
26/02/01,1267.650024,1267.689941,1241.709961,1245.859985,1130800000,25.43000031,36.99070141,-21.50391859,-9.063959465,0.017338769,-0.027494191,0,33.38534164,30.84550858,44.37677002,57.76333406,52.23334547,5.529988592,43.00448927,-33.09069849,60.58231516,-67.77715354,38.60492217,31.88293996
27/02/01,1257.939941,1272.76001,1252.26001,1267.650024,1114100000,26.48999977,34.98837008,-22.4217983,-7.985471333,-0.007689396,-0.027494191,0,52.82706451,77.51886749,12.39163685,58.53596733,52.23449757,6.301469757,42.46933419,151.3133065,-72.07629838,8.10064942,38.2475346,32.69941887
28/02/01,1239.939941,1263.469971,1229.650024,1257.939941,1225300000,28.35000038,31.57615166,-24.32131318,-7.907988974,-0.014412472,-0.027494191,0,70.06276703,74.57201385,55.87768555,59.07667535,52.42398663,6.652688723,42.19998907,-3.801466318,350.9306255,-9.832675334,37.92874637,31.50704753
01/03/01,1241.22998,1241.359985,1214.5,1239.939941,1294900000,28.07999992,32.0873376,-25.42946203,-7.212910261,0.001039864,-0.027494191,0,43.49104309,48.21888733,38.539711,58.65502415,52.17347879,6.481545357,42.4559482,-35.33916434,-31.02844074,-27.60237669,37.13582208,31.56912469
02/03/01,1234.180054,1251.01001,1219.73999,1241.22998,1294000000,27.43000031,30.73593644,-26.5702627,-6.682968745,-0.005695982,-0.027494191,0,85.81781769,85.6322403,74.14649963,59.07802872,52.60202841,6.476000317,42.84715915,77.59066009,92.38986934,85.7513022,36.62611647,32.03615976
05/03/01,1241.410034,1242.550049,1234.040039,1234.180054,929200000,27.12000084,33.81451718,-26.58450681,-5.357770279,0.005841032,-0.027494191,0,61.98957062,57.98955536,61.79875946,59.48126157,52.89858437,6.582677205,43.41385853,-6.794259136,30.19214145,-22.23683878,35.54528095,30.08264416
06/03/01,1253.800049,1267.420044,1241.410034,1241.410034,1091800000,25.88999939,38.8320037,-25.30433214,-3.262076487,0.009931121,-0.027494191,0,52.43356705,56.42372894,43.04767227,59.45519447,52.67677116,6.778423309,43.40652789,-2.700186967,-30.3421741,17.01582527,35.59349783,30.16642155
07/03/01,1261.890015,1263.859985,1253.800049,1253.800049,1132200000,24.12000084,41.92765738,-23.36762443,-1.060295023,0.00643163,-0.027494191,0,62.60866928,66.25954437,51.06759644,60.13363738,52.81384096,7.319796426,43.65769464,17.43205494,18.63033177,-22.62313336,34.82381427,29.92348898
08/03/01,1264.73999,1266.5,1257.599976,1261.890015,1114100000,24.29000092,43.02165674,-21.35661465,0.760571808,0.002255951,-0.027494191,0,49.36762619,61.57609177,24.60783386,60.16055122,53.07085502,7.089696203,43.43469961,-7.068344116,-51.81321311,42.94585224,34.90215203,30.33504456
09/03/01,1233.420044,1264.73999,1228.420044,1264.73999,1085900000,25.62000084,35.17851923,-22.03611421,0.064857794,-0.025075725,-0.027494191,0,48.47660065,71.66188812,21.47883797,60.09467588,52.93097322,7.163702662,42.81382454,16.37940322,-12.71544628,15.18107585,33.9011106,30.40363653
